"Source Url","P"
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Mar 23, 2020"
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Prime Minister Boris Johnson announced a very strict lockdown for the United Kingdom, saying British people should only leave home for basic necessities. The UK is closing all shops selling nonessential goods, and all gatherings of more than 2 people will be stopped. Read the full transcript here."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (00:16);Good evening. The coronavirus is the biggest threat this country has faced for decades, and this country is not alone. All over the world, we’re seeing the devastating impact of this invisible killer. Tonight, I want to update you on the latest steps we’re taking to fight the disease and what you can do to help. I want to begin by reminding you why the UK has been taking the approach that we have."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (00:43);Without a huge national effort to halt the growth of this virus, there will come a moment where no health service in the world could possibly cope, because there won’t be enough ventilators, enough intensive care beds, enough doctors and nurses. As we’ve seen elsewhere, in other countries that also have fantastic healthcare systems, that is the moment of real danger. To put it simply, if too many people become seriously unwell at one time, the NHS will be unable to handle it, meaning more people are likely to die, not just from coronavirus but from other illnesses as well. So it’s vital to slow the spread of the disease because that is the way we reduce the number of people needing hospital treatment at any one time so we can protect the NHS’s ability to cope and save more lives. That’s why we’ve been asking people to stay at home during this pandemic. Though huge numbers are complying, and I thank you all, the time has now come for us all to do more."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (01:56);From this evening, I must give the British people a very simple instruction. You must stay at home, because the critical thing we must do to stop the disease spreading between households. That is why people will only be allowed to leave their home for the following very limited purposes: Shopping for basic necessities as infrequently as possible, one form of exercise a day, for example, a run, walk, or cycle alone or with members of your household, any medical need to provide care or to help a vulnerable person, and traveling to and from work, but only where this is absolutely necessary and cannot be done from home. That’s all. These are the only reasons you should leave your home. You should not be meeting friends. If your friends ask you to meet, you should say no. You should not be meeting family members who do not live in your home. You should not be going shopping except for essentials like food and medicine, and you should do this as little as you can and use food delivery services where you can."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (03:12);If you don’t follow the rules, the police will have the powers to enforce them, including through fines and disbursing gatherings. To ensure compliance with the government’s instruction to stay at home, we will immediately close all shops selling non-essential goods, including clothing and electronics stores and other premises, including libraries, playgrounds, and outdoor gyms and places of worship. We’ll stop all gatherings of more than two people in public, excluding people you live with. And we’ll stop all social events including weddings, baptisms, and other ceremonies, but excluding funerals. Parks will remain open for exercise, but gatherings will be dispersed."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (04:05);No prime minister wants to enact measures like this. I know the damage that this disruption is doing and will do to people’s lives, to their businesses, and to their jobs. That’s why we’ve produced a huge and unprecedented program of support, both for workers and for business. I can assure you that we will keep these restrictions under constant review. We will look again in three weeks and relax them if the evidence shows we are able to. But at present, there are just no easy options. The way ahead is hard, and it is still true that many lives will sadly be lost."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (04:52);And yet it is also true that there is a clear way through. Day-by-day we are strengthening our amazing NHS with 7,500 former clinicians now coming back to the service. With the time you buy, by simply staying at home, we are increasing our stocks of equipment, we are accelerating our search for treatments, we’re pioneering work on a vaccine, and we are buying millions of testing kits that will enable us to turn the tide on this invisible killer."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Boris Johnson: (05:25);I want to thank everyone who is working flat out to beat the virus, everyone from the supermarket staff to the transport workers, to the carers, to the nurses and doctors on the frontline. But in this fight, we can be in no doubt that each and every one of us is directly enlisted. Each and every one of us is now obliged to join together, to halt the spread of this disease, to protect our NHS, and to save many, many thousands of lives. I know that as they have in the past so many times, the people of this country will rise to that challenge, and we will come through it stronger than ever. We will beat the coronavirus, and we will beat it together. Therefore, I urge you at this moment of national emergency to stay at home, protect our NHS, and save lives. Thank you."
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Our public transcript archive is always growing, always free, and always here as a research tool for the public to explore. If you don't see an existing transcript of the event you're looking for, please upload or link to the audio you want to see in our library. We'll email you when it's done!"
"https://www.rev.com/blog/transcripts/boris-johnson-coronavirus-speech-transcript-announces-uk-lockdown-you-must-stay-at-home","Offer valid for new customers only. One coupon per person or business.;Can be used for closed captions, subtitles, foreign subtitles, translations or transcription services."
"https://www.rev.com/blog/transcripts/boris-johnson-uk-coronavirus-briefing-transcript-march-22-warns-italy-style-lockdown-is-possible","Mar 22, 2020"
"https://www.rev.com/blog/transcripts/boris-johnson-uk-coronavirus-briefing-transcript-march-22-warns-italy-style-lockdown-is-possible","United Kingdom Prime Minister Boris Johnson on March 22 warned that an Italy-style lockdown was possible for the UK, and gave further COVID-19 updates. Read the full transcript of the briefing."
