,index,word,freq,wordnopunc
1,1,–,1,–
2,2,…,55,…
3,3,the,1,the
4,4,a,2,a
5,5,are,1,are
6,6,can,1,can
7,7,come,1,come
8,8,i,2,i
9,9,is,1,is
10,10,it,2,it
11,11,"look,",1,look
12,12,repurposed,1,repurposed
13,13,"right,",1,right
14,14,stay,1,stay
15,15,the,1,the
16,16,this,2,this
17,17,unnecessarily”,1,unnecessarily”
18,18,we'll,1,we'll
19,19,we're,1,we're
20,20,well,2,well
21,21,"well,",3,well
22,22,what's,1,what's
23,23,"why,",1,why
24,24,you,2,you
25,25,”,1,”
26,26,(00:00);…,5,(00:00);…
27,27,"(00:00);138,078",1,(00:00);138078
28,28,(00:00);a,1,(00:00);a
29,29,(00:00);and,1,(00:00);and
30,30,(00:00);as,1,(00:00);as
31,31,(00:00);england.,1,(00:00);england
32,32,(00:00);good,2,(00:00);good
33,33,(00:00);i,1,(00:00);i
34,34,(00:00);today,1,(00:00);today
35,35,(00:00);today's,1,(00:00);today's
36,36,(00:01);thanks,1,(00:01);thanks
37,37,(00:02);i,1,(00:02);i
38,38,(00:07);good,1,(00:07);good
39,39,(00:08);what,1,(00:08);what
40,40,(00:10);i'll,1,(00:10);i'll
41,41,(00:16);good,1,(00:16);good
42,42,(00:17);thank,1,(00:17);thank
43,43,(00:17);we're,1,(00:17);we're
44,44,"(00:17);well,",1,(00:17);well
45,45,(00:21);business,1,(00:21);business
46,46,(00:22);last,1,(00:22);last
47,47,(00:24);our,1,(00:24);our
48,48,(00:35);so,1,(00:35);so
49,49,(00:38);but,1,(00:38);but
50,50,(00:38);the,1,(00:38);the
51,51,(00:39);thank,1,(00:39);thank
52,52,(00:39);the,1,(00:39);the
53,53,(00:40);i,1,(00:40);i
54,54,(00:42);and,1,(00:42);and
55,55,(00:43);and,1,(00:43);and
56,56,(00:43);without,1,(00:43);without
57,57,(00:47);although,1,(00:47);although
58,58,(00:51);a,1,(00:51);a
59,59,(00:54);at,1,(00:54);at
60,60,(00:54);in,1,(00:54);in
61,61,(00:58);these,1,(00:58);these
62,62,(01:00:30);does,1,(01:00:30);does
63,63,(01:00:34);i,1,(01:00:34);i
64,64,(01:00:41);the,1,(01:00:41);the
65,65,(01:00:53);thanks.,1,(01:00:53);thanks
66,66,(01:00:57);secretary,1,(01:00:57);secretary
67,67,"(01:01:46);well,",1,(01:01:46);well
68,68,(01:03);these,1,(01:03);these
69,69,(01:04);now,1,(01:04);now
70,70,(01:04);work,1,(01:04);work
71,71,(01:05);the,1,(01:05);the
72,72,(01:11);i,1,(01:11);i
73,73,(01:11);next,1,(01:11);next
74,74,(01:18);according,1,(01:18);according
75,75,"(01:18);well,",1,(01:18);well
76,76,(01:20);and,1,(01:20);and
77,77,(01:22);let,1,(01:22);let
78,78,(01:24);these,1,(01:24);these
79,79,(01:25);a,1,(01:25);a
80,80,"(01:25);today,",1,(01:25);today
81,81,(01:33);170,1,(01:33);170
82,82,(01:33);and,1,(01:33);and
83,83,(01:36);but,1,(01:36);but
84,84,(01:37);the,1,(01:37);the
85,85,(01:39);of,1,(01:39);of
86,86,(01:45);and,1,(01:45);and
87,87,(01:48);and,1,(01:48);and
88,88,(01:49);of,1,(01:49);of
89,89,(01:50);good,1,(01:50);good
90,90,"(01:51);now,",1,(01:51);now
91,91,(01:53);next,1,(01:53);next
92,92,(01:54);good,1,(01:54);good
93,93,(01:54);we,1,(01:54);we
94,94,(01:56);from,1,(01:56);from
95,95,"(01:58);now,",1,(01:58);now
96,96,(01:58);we've,1,(01:58);we've
97,97,"(02:00);yes,",1,(02:00);yes
98,98,(02:05);and,1,(02:05);and
99,99,(02:07);in,1,(02:07);in
100,100,(02:10);the,1,(02:10);the
101,101,(02:11);the,1,(02:11);the
102,102,"(02:17);one,",1,(02:17);one
103,103,(02:19);there,1,(02:19);there
104,104,(02:21);i'll,1,(02:21);i'll
