"Source Url","P"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Apr 28, 2020"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","British officials gave a coronavirus briefing on April 28. Matt Hancock led this briefing. Full transcript is here."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Follow Rev Transcripts"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (00:00);And by deputy chief scientific advisor, Angela McLean. This morning at 11:00 o’clock, we paused to remember the 85 NHS colleagues and the 19 colleagues from social care who’ve lost their lives with coronavirus. It was a solemn moment of reflection for so many of us, and of unbearable sadness for some. These are the nation’s fallen heroes and we will remember them. Every day we’re working through our plan to protect life and to protect the NHS, slowing the spread and building capacity so that the NHS, at all times, can offer the very best care to everybody because we’ve got the beds and the ventilators and the staff available."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (00:53);So far, thanks to the incredible work of NHS colleagues and the shared sacrifice of everyone who’s at home, that plan is working. The latest figure show 3,260 spare critical care beds across the NHS. On the most recent figures, there’ve been 763,387 tests for coronavirus so far in the UK, including 43,453 yesterday. 161, 145 people have tested positive, an increase of 3,996. 15,796 people are currently in hospital with coronavirus. 21,678 have now sadly died in hospital, an increase of 586 since yesterday."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (01:54);This morning, the office for national statistics and the CQC published more information on the overall impact, including that there have been 4,343 notified deaths in care homes since Easter. The proportion of coronavirus deaths in care homes is around a sixth of the total, which is just below what we see in normal times. I want to make sure that we bring as much transparency as possible to important information like this. And so from tomorrow, we’ll be publishing not just the number of deaths in hospital each day, but the number of deaths in care homes and in the community too. This is something that wasn’t previously possible. This will supplement the ONS and CQC weekly publication and all add to our understanding of how this virus is spreading day by day, and it’ll help inform the judgements that we make as we work to keep people safe."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (02:59);Behind every single death is a family’s heartbreak, and we must do everything humanly possible to save as many lives as we can. We will not be changing the social distancing rules until our five tests have been met, the NHS protected, infection rates falling, the number of deaths falling substantially, the operational challenges around testing and PPE addressed and no risk of a second spike."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (03:32);I want to update you on two other issues of major importance. First on testing. At the start of the month, I set a goal of 100,000 tests a day. Every day, we’re ramping up this testing capacity on track to meet that goal. We’re continuously opening new drive-through centers. There are now 41 with 48 going live this week. For people who can’t get to the tests, we’re expanding home testing to bring the test to them. We’re increasing the dispatch of home test kits from 5,000 a day last Friday to 25,000 a day by the end of the week."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (04:12);At the weekend, 17 mobile testing units, manned by the army, were operational. By the end of the week, we plan to have over 70 deployed with trained crews right across the country. All of this has led to an increase in daily testing capacity, which now stands at 73,400, and this has allowed us progressively to expand access to testing. We started with hospital patients who’ve always have the access to tests right away through ramping up to include symptomatic NHS and social care colleagues and their households and then to all essential workers. Today, because we’ve been able to expand capacity, I can expand access further."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (05:04);Building on successful pilots, we’ll be rolling out testing of asymptomatic residents and staff in care homes in England and to patients and staff in the NHS. This will mean that anyone who is working or living in a care home will be able to get access to a test whether they have symptoms or not. I’m determined to do everything I can to protect the most vulnerable and we now have the capacity to go further still. So from now, we’re making testing available to all over 65s and their households with symptoms and to all workers who would have to leave home in order to go to work and members of their households, again, who have symptoms. So from construction workers to emergency plumbers, from research scientists to those in manufacturing. The expansion of access to testing will protect the most vulnerable and help keep people safe and it’s possible because we’ve expanded capacity for testing thus far."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (06:20);Next, I want to update you on our COVID-19 therapeutics work. This is research to understand whether existing drugs could be used to treat people more effectively once they’ve developed the disease. Currently no drugs in the world have been clinically proven to treat COVID-19, but our therapeutics task force has identified a number of promising candidates. Currently, six different treatments have been entered into national clinical trials, and the first is ready to enter the next stage, a new early phase clinical trial platform that we’re launching today. This is a national effort made possible by government, academia, and industry all working together."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (07:01);In addition, we have to make the best possible use of all the medicines that we have. We’re updating the guidelines for the use of medicines in care homes, removing a barrier so that for the period of the pandemic, where it’s clinically appropriate, medicines that have been labeled for use by one patient can be used by another patient who needs them instead of being destroyed. Clinicians and colleagues in social care have called for this change and it’s already standard procedure in hospitals."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Matt Hancock: (07:32);Right across government, we’re working day and night to defeat this virus, ramping up testing capacity, investigating new drugs and treatments, backing vaccine development, securing and distributing billions of items of PPE, getting the NHS whatever resources it needs to make sure that it is always there to treat everybody who needs it. The risk of a second peak is real, but as a nation, we’re holding it at bay. So please stay at home, protect the NHS and save lives. I’m now going to turn to the deputy chief scientific advisor to take us through the daily charts. Angela."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-28","Angela McLean: (08:15);Thank you very much. If I could have the first slide please. I wanted to go into a bit more detail about the five tests for adjusting the lockdown. So the first of those is that the NHS shall have sufficient capacity to provide critical care and specialist treatment right across the UK. The second is that we should have seen a sustained and consistent fall in daily deaths from coronavirus. Number three says that we must have reliable data to show us that the rate of infection is decreasing to manageable levels right across the board. Fourth is that operational challenges, including testing and PPE, are in hand with supply able to meet future demand. And the fifth test is that we must be confident that any adjustments that we make to our current measures will not risk a second peak of infections that might overwhelm the NHS."
