"Source Url","P"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Apr 27, 2020"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","British officials gave a coronavirus briefing transcript April 27. Matt Hancock announced monetary support for families of healthcare staff who pass away. Full transcript here."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Follow Rev Transcripts"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (00:00);Today’s briefing will follow a bit of a new format following significant demand as well as questions from the media. We’ll take our first question from a member of the public. This is going to become a regular feature of these briefings. The questions are selected by an independent polling organization and just like the journalist questions, we don’t see the questions in advance, but we’ll give them the very best answers that we can. In the past few hours, since we announced this new approach, we’ve had over 15,000 questions submitted and you can ask a question yourself by going to gov.uk\ask. And today I’m joined by Professor Chris Whitty and Professor Steve Powis, the medical director of the NHS. The government is working through our action plan and at its core the objective is to protect life and to protect the NHS both by slowing the spread of the virus so that we flatten the curve and by ensuring that the NHS always has more than enough capacity to provide critical care for all those who need it."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (01:18);According to the most recent figures, there have been 719,910 tests for coronavirus so far in the UK, including 37,024 yesterday. 157,149 people have tested positive. That’s an increase of 4,310 cases since yesterday. 15,051 people are currently in hospital with coronavirus, down from 15,239 yesterday and sadly of those hospitalized with the virus, 21,092 have now died. That’s an increase of 360 fatalities. And we must never lose sight of the human cost of coronavirus and the pain and the grief that it causes. And each death serves as a reminder that we must stand firm in our resolve. Sadly, these deaths figures include 82 NHS colleagues and 16 colleagues who work in social care. They dedicated their lives to caring for others and I feel a deep personal sense of duty that we must care for their loved ones. Today, I’m able to announce that the government is setting up a life assurance scheme for NHS and social care frontline colleagues."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (02:54);Families of staff who die from coronavirus in the course of their essential frontline work will receive a 60,000 pound payment. Of course, nothing replaces the loss of a loved one, but we want to do everything that we can to support families who are dealing with this grief. And as a government, we’re looking closely at other professions that work on the frontline against coronavirus who also do not have access to such schemes to see where this may be required. This gross crisis has shown this country values so much our health and social care workers and I want to pay tribute to the perseverance of the British public who, even this warm spring weekend, in the vast majority did the right thing and stayed at home to protect the NHS. Thus far in this crisis at every single hour of every single day the NHS has always had the capacity to treat the people who need that treatment."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (04:09);I’m glad to be able to report that there are now 3,190 spare critical care beds. Indeed, 42% of oxygen supported beds in the NHS now lie empty. And in most parts of the country, the number of people in hospital with coronavirus is beginning to fall. One of the reasons NHS capacity has always exceeded need is because of our amazing program of NHS Nightingale Hospitals. Today, I was proud to attend virtually the opening of the eighth of our 10 Nightingale Hospitals across the UK. Again, built in a matter of weeks. This Nightingale Hospital Project stands as a monument to the nation’s ability to get things done when it matters. This is one of the most ambitious projects this country has ever seen in peace time and I’d like to thank the NHS, the armed forces, and all the companies that have worked side by side to make these plans of reality."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (05:12);The Nightingale Project is just one of the measures that’s boosted capacity all across the NHS. By reenlisting thousands of former staff, former clinicians, and enrolling early thousands of students. We’ve boosted the workforce of the NHS and we’ve changed forever the digital capability of the NHS. I think many people who’ve now used online GP consultations and online outpatient visits won’t ever go back. And I pay tribute to the staff who’ve worked in different ways to how they would ever have imagined and who’ve been more flexible and open to change when it was really needed. So where there have been advances amongst these huge challenges of this crisis, we must not lose them. However, we also know that fewer people are coming to the NHS when they need to and the attendances have dropped to 221,000 emergency department attendances in the last week compared to 477,000 in the same week last year."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (06:20);That’s more than 50%. Now some of this drop is due to lower road traffic and people following the social distancing rules. Some of it will be due to people accessing the NHS in ways that work better for them, like online or through pharmacies. And that’s a good thing. But in some cases we know that the drop is due to people not coming forward and using the NHS for critical things that matter. Our message is that the NHS is open. Help us to help you. So if you’re worried about chest pains, for instance, maybe you might be having a heart attack or a stroke, or you feel a lump and you’re worried about cancer or you’re a parent concerned about your child, please come forward and seek help as you always would. It is so important that everybody uses the NHS responsibly and the NHS will always be there for you when you need it just as it’s been there for us all throughout this crisis and throughout our lives."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (07:27);And as the number of hospitalizations from coronavirus begins to fall, I can announce that starting tomorrow we’ll begin the restoration of other NHS services starting with the most urgent, like cancer care and mental health support. The exact pace of the restoration will be determined by local circumstances on the ground according to local need and according to the amount of a coronavirus cases that that hospital is having to deal with. Having written off 13.4 billion pounds worth of historic NHS debt, I want to ensure that the NHS is always there in a way that doesn’t just help us recover from coronavirus as a country, but also puts us in a stronger position for the future. We’re coming through this peak. We’ll honor those who’ve dedicated their lives to caring for others, but it will count for nothing if we let things slip now and risk a second peak. I know that lockdown is hard for so many people, but let us all have the resolve to see this through. So please stay at home, protect the NHS, and save lives. We’re now going to go to Professor Chris Whitty, the chief medical officer for the daily data charts, and then we’re going to take questions from the public."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Professor Chris Whitty: (08:56);Thank you very much, Secretary of State. So just the first slide is just a reminder to people of the five tests for adjusting the lockdown. The first three of which are about the epidemic that the NHS has capacity to provide critical care across the UK, a sustained and consistent fall in the daily deaths overall from coronavirus, and the rate of infection decreased to manageable levels across the board. Then there’s an operational point about operational challenges including testing and PPE in hand with supply, able to meet future demand, and then finally and importantly confident that the adjustments to current measures will not risk a second peak of infections. Next slide please."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Professor Chris Whitty: (09:44);The next two slides are really ways of looking at whether people are continuing as they have been consistently throughout this crisis to heed the guidance in terms of keeping pressure off the NHS by staying at home unless they have to go out for necessary things. And as you can see, after a very remarkable fall, initially, broadly, this has been flat, very slight trending up in terms of motor vehicles, but otherwise really the data remain largely unchanged on these transport metrics."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Professor Chris Whitty: (10:18);Next slide please. And then looking at other forms, the driving we’ve talked about before. A very slight increase in walking. Public transport remains largely flat. So evidence, I think, that the great majority of people are continuing to honor the lockdown, which is helping us to drive the number of cases down and therefore take pressure off the NHS. Next slide please."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Professor Chris Whitty: (10:44);The next few slides are really ones that people who watch these briefings will be very familiar with. It’s just the most recent data. So new cases in the UK. As you can see, obviously one thing we have to bear in mind is the number of tests is going up overall, but despite that the trend is flat or slightly down in terms of positive cases. Next slide please. But when we actually look at people in hospital, I think the trends that demonstrate that over the country as a whole, we’re going through the peak are reasonably clear to see. Obviously a bigger fall in London, but the rest of the country in different areas are either flat or decreasing over time. Next slide please. And then when we turn to one of the most important questions, which is critical care capacity, if you look at these trends across England, Scotland, Wales, and Northern Ireland, these are the percentage of all critical care beds being used for covid patients and both in absolute and in relative terms this is gradually trending down."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Professor Chris Whitty: (11:55);But importantly, and I talked about this last time I was here, this is a very gradual peak. We’re not seeing a dramatic falloff and nor do we expect to in the next short while. Next slide please. And finally, sadly, people are continuing to die as we have said. Every time just after a weekend, there’s an artificial drop because there’s less notification over weekends. So the number of cases who sadly were reported as having died yesterday with 360 I do actually expect there will be a bit of an uptick again later in the week as we catch up from the weekend drop. Nevertheless, the trend overall, as you can see from the seven day rolling average at the top, which smooths out these weekend effects, is a gradual decline. But we are definitely not consistently past the peak across the whole country at this point in time. Finally, a slide which compares different countries, and again I would be really clear that we should not over-interpret the absolute numbers. The way these are actually measured in different countries is different, but the trend lines I think are reasonably clear from this. Thank you very much."
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Matt Hancock: (13:14);Thank you very much Chris. Now we’re going to go to the first question, which is from Lynn in Skipton. And I’m going to read out the question, and I’m reading it for the first time, and then we will endeavor to answer it. I’m missing my grandchildren so much. Please can you let me know if after the five criteria are met, is being able to hug our closest family one of the first steps out of lockdown. Well, thank you Lynn for that question. An incredibly important one and brings home the emotional impact of the lockdown measures. I think why don’t we take the direct medical evidence from the chief medical officer?"
"https://www.rev.com/blog/transcripts/united-kingdom-coronavirus-briefing-transcript-april-27","Professor Chris Whitty: (13:59);Well very clearly for most people, the ability to actually interact with families in a way that they have not been able to during this period is absolutely essential. In terms of the direct answer to this lady’s question, it depends, if I’m honest, on the situation that she finds herself in. So if she is someone who has a significant medical problem in a way that means that she would have to be shielding that is, and she’s an older person. Some grandparents are younger grandparents, some obviously are older. If she’s in a group which is vulnerable, then the answer is that it might well be prudent, and this will be depend entirely on individual circumstances, for her not to get into a situation where she is putting herself at risk. Obviously if she’s healthy and younger, that may well not be true, but the overall view that actually one of the things that clearly is important to everybody is the ability to get together with families remotely, but also physically everyone fully accepts. Nevertheless, it is important that people who are vulnerable continue to be protected even after whatever the next steps are occur."
