"","ttext.vec","Freq"
"1","–",1
"2","…",55
"3","‘the",1
"4","“a",2
"5","“are",1
"6","“can",1
"7","“come",1
"8","“i",2
"9","“is",1
"10","“it",2
"11","“look,",1
"12","“repurposed",1
"13","“right,",1
"14","“stay",1
"15","“the",1
"16","“this",2
"17","“unnecessarily”",1
"18","“we’ll",1
"19","“we’re",1
"20","“well",2
"21","“well,",3
"22","“what’s",1
"23","“why,",1
"24","“you",2
"25","”",1
"26","(00:00);…",5
"27","(00:00);138,078",1
"28","(00:00);a",1
"29","(00:00);and",1
"30","(00:00);as",1
"31","(00:00);england.",1
"32","(00:00);good",2
"33","(00:00);i",1
"34","(00:00);today",1
"35","(00:00);today’s",1
"36","(00:01);thanks",1
"37","(00:02);i",1
"38","(00:07);good",1
"39","(00:08);what",1
"40","(00:10);i’ll",1
"41","(00:16);good",1
"42","(00:17);thank",1
"43","(00:17);we’re",1
"44","(00:17);well,",1
"45","(00:21);business",1
"46","(00:22);last",1
"47","(00:24);our",1
"48","(00:35);so",1
"49","(00:38);but",1
"50","(00:38);the",1
"51","(00:39);thank",1
"52","(00:39);the",1
"53","(00:40);i",1
"54","(00:42);and",1
"55","(00:43);and",1
"56","(00:43);without",1
"57","(00:47);although",1
"58","(00:51);a",1
"59","(00:54);at",1
"60","(00:54);in",1
"61","(00:58);these",1
"62","(01:00:30);does",1
"63","(01:00:34);i",1
"64","(01:00:41);the",1
"65","(01:00:53);thanks.",1
"66","(01:00:57);secretary",1
"67","(01:01:46);well,",1
"68","(01:03);these",1
"69","(01:04);now",1
"70","(01:04);work",1
"71","(01:05);the",1
"72","(01:11);i",1
"73","(01:11);next",1
"74","(01:18);according",1
"75","(01:18);well,",1
"76","(01:20);and",1
"77","(01:22);let",1
"78","(01:24);these",1
"79","(01:25);a",1
"80","(01:25);today,",1
"81","(01:33);170",1
"82","(01:33);and",1
"83","(01:36);but",1
"84","(01:37);the",1
"85","(01:39);of",1
"86","(01:45);and",1
"87","(01:48);and",1
"88","(01:49);of",1
"89","(01:50);good",1
"90","(01:51);now,",1
"91","(01:53);next",1
"92","(01:54);good",1
"93","(01:54);we",1
"94","(01:56);from",1
"95","(01:58);now,",1
"96","(01:58);we’ve",1
"97","(02:00);yes,",1
"98","(02:05);and",1
"99","(02:07);in",1
"100","(02:10);the",1
"101","(02:11);the",1
"102","(02:17);one,",1
"103","(02:19);there",1
"104","(02:21);i’ll",1
"105","(02:22);first",1
"106","(02:23);last",1
"107","(02:25);and",1
"108","(02:26);across",1
"109","(02:28);i",1
"110","(02:29);thank",1
"111","(02:32);the",1
"112","(02:35);it",1
"113","(02:36);if",1
"114","(02:36);now,",1
"115","(02:37);this",1
"116","(02:40);we",1
"117","(02:45);so",1
"118","(02:46);and",1
"119","(02:49);and",1
"120","(02:49);as",1
"121","(02:49);but",1
"122","(02:54);families",1
"123","(02:58);thank",1
"124","(03:00);i",1
"125","(03:08);thank",1
"126","(03:12);if",1
"127","(03:12);since",1
"128","(03:13);final",1
"129","(03:15);and",1
"130","(03:18);today",1
"131","(03:19);it’s",1
"132","(03:27);and",1
"133","(03:28);in",1
"134","(03:32);i",1
"135","(03:35);so",1
"136","(03:37);okay,",1
"137","(03:37);so",1
"138","(03:41);and",1
"139","(03:41);thank",1
"140","(03:42);our",1
"141","(03:43);that",1
"142","(03:45);and",1
"143","(03:46);but",1
"144","(03:46);in",1
"145","(03:47);and",1
"146","(03:51);the",1
"147","(03:51);there",1
"148","(03:53);first",1
"149","(04:03);so",1
"150","(04:05);no",1
"151","(04:06);but",1
"152","(04:09);i’m",1
"153","(04:10);and",1
"154","(04:11);patrick,",1
"155","(04:11);the",1
"156","(04:11);well,",1
"157","(04:13);so",1
"158","(04:14);if",1
"159","(04:17);i",1
"160","(04:19);yeah.",1
"161","(04:21);if",1
"162","(04:23);now,",1
"163","(04:27);our",1
"164","(04:27);that",1
"165","(04:28);if",1
"166","(04:29);and",1
"167","(04:35);it’s",1
"168","(04:38);so",1
"169","(04:39);thank",1
"170","(04:42);well,",1
"171","(04:43);and",1
"172","(04:47);i",1
"173","(04:47);sadly",1
"174","(04:50);so",1
"175","(04:51);launching",1
"176","(04:52);and",1
"177","(04:52);i",1
"178","(04:52);it",1
"179","(04:54);two",1
"180","(04:57);thank",1
"181","(04:58);as",1
"182","(05:02);so",1
"183","(05:03);on",1
"184","(05:05);these",1
"185","(05:09);this",1
"186","(05:12);the",1
"187","(05:13);boris",1
"188","(05:14);yeah.",1
"189","(05:18);if",1
"190","(05:19);next",1
"191","(05:20);and",1
"192","(05:20);now",1
"193","(05:25);first",1
"194","(05:25);i",1
"195","(05:26);and",1
"196","(05:26);thank",1
"197","(05:27);to",1
"198","(05:33);we",1
"199","(05:34);do",1
"200","(05:34);none",1
"201","(05:35);yeah,",1
"202","(05:43);in",1
"203","(05:44);this,",1
"204","(05:45);and",1
"205","(05:45);so,",1
"206","(05:45);these",1
"207","(05:48);we",1
"208","(05:49);since",1
"209","(05:52);i’m",1
"210","(05:53);and",1
"211","(05:54);i",1
"212","(05:55);and",1
"213","(05:57);i",1
"214","(06:04);then",1
"215","(06:04);today,",1
"216","(06:07);we’ve",1
"217","(06:11);angela,",1
"218","(06:11);but",1
"219","(06:11);thank",1
"220","(06:15);so,",1
"221","(06:17);thanks",1
"222","(06:19);just",1
"223","(06:19);thank",1
"224","(06:20);i",1
"225","(06:20);that’s",1
"226","(06:23);so",1
"227","(06:25);and",1
"228","(06:28);if",1
"229","(06:29);good",1
"230","(06:29);over",1
"231","(06:32);participants",1
"232","(06:33);now,",1
"233","(06:36);of",1
"234","(06:37);if",1
"235","(06:37);perfect.",1
"236","(06:38);i",1
"237","(06:39);let",1
"238","(06:43);this",1
"239","(06:44);and",1
"240","(06:47);and",1
"241","(06:48);thanks,",1
"242","(06:50);so,",1
"243","(06:51);it’s",1
"244","(06:53);then",1
"245","(06:58);but",1
"246","(06:58);good",1
"247","(06:59);it",1
"248","(07:00);well,",1
"249","(07:07);thank",1
"250","(07:14);i",1
"251","(07:15);those",1
"252","(07:15);tom",1
"253","(07:16);thank",1
"254","(07:18);but",1
"255","(07:18);thank",1
"256","(07:19);overriding",1
"257","(07:19);yes.",1
"258","(07:20);as",1
"259","(07:20);yvonne?",1
"260","(07:21);on",1
"261","(07:21);thank",1
"262","(07:22);did",1
"263","(07:25);i",1
"264","(07:25);yes.",1
"265","(07:27);and",1
"266","(07:27);between",1
"267","(07:36);well",1
"268","(07:39);thanks.",1
"269","(07:42);unfortunately,",1
"270","(07:43);well,",1
"271","(07:43);what’s",1
"272","(07:45);our",1
"273","(07:46);the",1
"274","(07:48);then",1
"275","(07:49);one",1
"276","(07:49);the",1
"277","(07:50);does",1
"278","(07:50);thank",2
"279","(07:51);on",1
"280","(07:54);i’m",1
"281","(07:56);we’ve",1
"282","(08:03);…",1
"283","(08:04);could",1
"284","(08:05);again,",1
"285","(08:06);as",1
"286","(08:11);thank",1
"287","(08:14);the",1
"288","(08:15);so,",1
"289","(08:15);the",1
"290","(08:17);but",1
"291","(08:18);thank",1
"292","(08:19);the",1
"293","(08:21);thank",1
"294","(08:22);so",1
"295","(08:23);our",1
"296","(08:28);today,",1
"297","(08:29);now,",1
"298","(08:29);thank",1
"299","(08:29);this",1
"300","(08:38);beth",1
"301","(08:38);it’s",1
"302","(08:39);thank",1
"303","(08:41);thank",1
"304","(08:42);and",1
"305","(08:43);could",1
"306","(08:43);thank",1
